physician_id,first_name,last_name,specialty,license_number,email,hospital_id
PHY001,Joshua,Martin,Dermatology,MD837449,physician001@hospital.org,HSP014
PHY002,Olivia,Davis,Psychiatry,MD146385,physician002@hospital.org,HSP007
PHY003,Joshua,Davis,Hematology,MD327823,physician003@hospital.org,HSP013
PHY004,Olivia,Jones,Hematology,MD403314,physician004@hospital.org,HSP004
PHY005,Jacob,Hernandez,Infectious Disease,MD726962,physician005@hospital.org,HSP013
PHY006,David,Davis,Endocrinology,MD250219,physician006@hospital.org,HSP011
PHY007,Scarlett,Davis,Gastroenterology,MD415098,physician007@hospital.org,HSP005
PHY008,Olivia,Moore,Infectious Disease,MD870925,physician008@hospital.org,HSP015
PHY009,Mia,Lee,Dermatology,MD547952,physician009@hospital.org,HSP009
PHY010,Ella,Johnson,Pulmonology,MD774565,physician010@hospital.org,HSP011
PHY011,Christopher,Sanchez,Hematology,MD434217,physician011@hospital.org,HSP012
PHY012,Andrew,Wilson,Neurology,MD414455,physician012@hospital.org,HSP007
PHY013,Mia,Harris,Hematology,MD596520,physician013@hospital.org,HSP004
PHY014,Daniel,Martinez,Family Medicine,MD841948,physician014@hospital.org,HSP003
PHY015,Avery,Robinson,Cardiology,MD689704,physician015@hospital.org,HSP007
PHY016,Andrew,Moore,Hematology,MD240606,physician016@hospital.org,HSP007
PHY017,Amelia,Rodriguez,Rheumatology,MD446305,physician017@hospital.org,HSP011
PHY018,Ava,Robinson,Nephrology,MD988283,physician018@hospital.org,HSP006
PHY019,Ava,Moore,Psychiatry,MD969695,physician019@hospital.org,HSP004
PHY020,Olivia,Rodriguez,Gastroenterology,MD806396,physician020@hospital.org,HSP010
PHY021,Nicholas,Johnson,Family Medicine,MD176319,physician021@hospital.org,HSP004
PHY022,Chloe,White,Dermatology,MD685997,physician022@hospital.org,HSP004
PHY023,Ethan,Miller,Family Medicine,MD449138,physician023@hospital.org,HSP005
PHY024,James,Miller,Pediatrics,MD299254,physician024@hospital.org,HSP012
PHY025,Sophia,White,Internal Medicine,MD602184,physician025@hospital.org,HSP015
PHY026,Amelia,Thompson,Infectious Disease,MD837954,physician026@hospital.org,HSP004
PHY027,Elizabeth,Robinson,Rheumatology,MD678897,physician027@hospital.org,HSP006
PHY028,Joseph,Gonzalez,Nephrology,MD659572,physician028@hospital.org,HSP011
PHY029,Samuel,Martinez,Endocrinology,MD477114,physician029@hospital.org,HSP009
PHY030,Ella,Anderson,Oncology,MD941814,physician030@hospital.org,HSP012
PHY031,Ethan,Harris,Family Medicine,MD435788,physician031@hospital.org,HSP015
PHY032,Charlotte,Lopez,Pulmonology,MD534037,physician032@hospital.org,HSP001
PHY033,Jacob,Ramirez,Rheumatology,MD877259,physician033@hospital.org,HSP003
PHY034,Emma,Rodriguez,Hematology,MD712401,physician034@hospital.org,HSP010
PHY035,Andrew,Martinez,Neurology,MD305721,physician035@hospital.org,HSP006
PHY036,Daniel,Gonzalez,Infectious Disease,MD973844,physician036@hospital.org,HSP004
PHY037,Ella,Moore,Dermatology,MD818113,physician037@hospital.org,HSP006
PHY038,Matthew,Harris,Family Medicine,MD612356,physician038@hospital.org,HSP012
PHY039,Ella,Anderson,Neurology,MD868367,physician039@hospital.org,HSP013
PHY040,Samuel,Garcia,Neurology,MD855303,physician040@hospital.org,HSP009
PHY041,Ella,Garcia,Pediatrics,MD668471,physician041@hospital.org,HSP011
PHY042,Olivia,Taylor,Cardiology,MD979827,physician042@hospital.org,HSP014
PHY043,William,Walker,Family Medicine,MD800674,physician043@hospital.org,HSP001
PHY044,James,Wilson,Neurology,MD983472,physician044@hospital.org,HSP011
PHY045,Daniel,Williams,Psychiatry,MD258366,physician045@hospital.org,HSP001
PHY046,Charlotte,Taylor,Nephrology,MD491329,physician046@hospital.org,HSP001
PHY047,Victoria,Lee,Dermatology,MD746467,physician047@hospital.org,HSP015
PHY048,Ethan,Perez,Nephrology,MD116495,physician048@hospital.org,HSP001
PHY049,Ryan,Moore,Gastroenterology,MD112426,physician049@hospital.org,HSP001
PHY050,Scarlett,White,Endocrinology,MD661762,physician050@hospital.org,HSP005
